depth,items,support,score,synergy_lift,syn_pos,syn_neg,ii_bits,o_info,emergent_ratio,ce_score,is_emergent
1,"[('data_type', 'factual')]",47986,0.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,False
1,"[('data_type', 'instruction')]",77013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,"[('data_type', 'reasoning')]",37926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3673,False
1,"[('data_type', 'math')]",10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886,False
1,"[('data_type', 'code')]",108256,0.7689,0.0,0.0,0.0,0.0,0.0,0.0,0.4771,False
1,"[('domain', 'general')]",122999,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.043,False
1,"[('domain', 'stem')]",158182,0.8102,0.0,0.0,0.0,0.0,0.0,0.0,0.6077,False
1,"[('complexity', 'medium')]",209264,0.3977,0.0,0.0,0.0,0.0,0.0,0.0,0.3431,False
1,"[('complexity', 'simple')]",18991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,"[('complexity', 'hard')]",52926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4339,False
1,"[('format', 'prose')]",42986,0.1163,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,False
1,"[('format', 'qa')]",183573,0.4169,0.0,0.0,0.0,0.0,0.0,0.0,0.3369,False
1,"[('format', 'zero_shot')]",54622,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4407,False
1,"[('source_tier', 'web')]",52986,0.1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0819,False
1,"[('source_tier', 'academic')]",15000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,False
1,"[('source_tier', 'synthetic')]",110035,0.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,False
1,"[('source_tier', 'curated')]",103160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6057,False
2,"[('format', 'qa'), ('source_tier', 'web')]",15000,0.6667,0.2497,0.2497,-0.4779,-0.1369,0.0,1.0,0.154,True
2,"[('data_type', 'code'), ('source_tier', 'web')]",5000,1.0,0.2311,0.2311,-0.8113,-0.2342,0.0,1.0,0.1333,True
2,"[('domain', 'stem'), ('format', 'prose')]",5000,1.0,0.1898,0.1898,-0.8837,-0.1254,0.0,1.0,0.1333,True
2,"[('complexity', 'medium'), ('format', 'qa')]",130647,0.219,0.1787,-0.1979,0.1787,0.0617,0.0,1.0,0.1493,True
2,"[('complexity', 'medium'), ('format', 'prose')]",23995,0.0,0.1163,-0.3977,0.1163,0.0617,0.0,1.0,0.0,True
2,"[('format', 'prose'), ('source_tier', 'web')]",37986,0.0,0.1163,-0.1887,0.1163,-0.1369,0.0,1.0,0.0,True
2,"[('complexity', 'medium'), ('data_type', 'factual')]",28995,0.0,0.1042,-0.3977,0.1042,-0.1079,0.0,1.0,0.0,True
2,"[('data_type', 'factual'), ('format', 'qa')]",5000,0.0,0.1042,-0.4169,0.1042,-0.1158,0.0,1.0,0.0,True
2,"[('data_type', 'factual'), ('source_tier', 'web')]",42986,0.0,0.1042,-0.1887,0.1042,-0.2342,0.0,1.0,0.0,True
2,"[('data_type', 'code'), ('source_tier', 'synthetic')]",25022,0.0,0.0727,-0.7689,0.0727,-0.2342,0.0,1.0,0.0,True
2,"[('domain', 'stem'), ('source_tier', 'synthetic')]",25022,0.0,0.0727,-0.8102,0.0727,-0.249,0.0,1.0,0.0,True
2,"[('complexity', 'medium'), ('source_tier', 'synthetic')]",97035,0.0,0.0727,-0.3977,0.0727,-0.0497,0.0,1.0,0.0,True
2,"[('data_type', 'factual'), ('domain', 'general')]",37986,0.0,0.065,-0.1042,0.065,-0.2816,0.0,1.0,0.0,True
2,"[('complexity', 'medium'), ('domain', 'general')]",101008,0.0,0.065,-0.3977,0.065,-0.022,0.0,1.0,0.0,True
2,"[('domain', 'general'), ('format', 'prose')]",37986,0.0,0.065,-0.1163,0.065,-0.1254,0.0,1.0,0.0,True
2,"[('domain', 'general'), ('source_tier', 'web')]",37986,0.0,0.065,-0.1887,0.065,-0.249,0.0,1.0,0.0,True
2,"[('complexity', 'medium'), ('source_tier', 'web')]",33995,0.1471,0.0416,-0.2507,0.0416,-0.0497,0.0,0.5,0.0511,True
2,"[('complexity', 'medium'), ('data_type', 'code')]",103256,0.8061,0.0372,0.0372,-0.4083,-0.1079,0.0,0.5,0.4885,True
